Country,City,State,Postal Code,Region,Age,Gender,Income,Customer ID
United States,Henderson,Kentucky,42420,South,30.0,Male,74291.0,14075
United States,Henderson,Kentucky,42420,South,29.0,Female,65237.0,15015
United States,Los Angeles,California,90036,West,41.0,Female,85197.0,19822
United States,,Florida,33311,South,22.0,Female,68506.0,11213
United States,Fort Lauderdale,Florida,33311,,51.0,Female,97750.0,19564
United States,Los Angeles,California,90032,West,38.0,Female,59670.0,19705
United States,Los Angeles,,90032,West,53.0,Female,60743.0,15173
United States,Los Angeles,California,90032,West,42.0,,29950.0,11289
United States,Los Angeles,California,90032,West,38.0,Male,68401.0,16892
United States,Los Angeles,California,90032,West,,Female,54242.0,15139
United States,Los Angeles,California,90032,,37.0,Female,95420.0,18826
United States,Los Angeles,California,90032,West,42.0,Male,94554.0,12472
United States,Concord,North Carolina,28027,South,,,95927.0,19019
United States,Seattle,,98103,West,30.0,,88402.0,18025
United States,Fort Worth,,76106,Central,34.0,Female,94525.0,18744
United States,,,76106,Central,23.0,Female,96722.0,13501
United States,Madison,,53711,,55.0,Male,76568.0,13989
United States,West Jordan,,84084,West,43.0,Female,106515.0,19685
United States,San Francisco,California,94109,West,40.0,Female,69166.0,19035
United States,San Francisco,California,94109,West,,Male,100655.0,14054
United States,San Francisco,California,94109,West,,,71448.0,16041
United States,Fremont,Nebraska,68025,Central,18.0,,70322.0,16765
United States,Fremont,Nebraska,68025,Central,47.0,Female,39618.0,12817
United States,Philadelphia,Pennsylvania,19140,East,,Male,49888.0,16731
United States,Orem,Utah,84057,West,54.0,Female,95357.0,10293
United States,Los Angeles,California,90049,West,28.0,Female,22530.0,14880
United States,Los Angeles,California,90049,West,37.0,Female,41022.0,15693
United States,Philadelphia,Pennsylvania,19140,East,30.0,Male,107319.0,13234
United States,Philadelphia,,19140,East,29.0,Female,76551.0,13853
United States,Philadelphia,Pennsylvania,19140,East,18.0,Male,73496.0,16415
United States,Philadelphia,Pennsylvania,19140,,26.0,Female,,18907
United States,Philadelphia,Pennsylvania,19140,East,27.0,Male,34139.0,11456
United States,Philadelphia,Pennsylvania,19140,East,33.0,Male,69807.0,18932
United States,Philadelphia,Pennsylvania,19140,East,39.0,Female,107159.0,16161
United States,Houston,Texas,77095,Central,51.0,,78534.0,10553
United States,Richardson,Texas,75080,Central,63.0,Male,52780.0,15039
United States,Richardson,Texas,75080,Central,46.0,Female,86185.0,12151
United States,Houston,Texas,77041,Central,47.0,Female,56500.0,15228
United States,Houston,Texas,77041,,33.0,Female,53041.0,11280
United States,Houston,,77041,Central,35.0,,22530.0,12769
United States,Houston,Texas,77041,Central,62.0,Female,84400.0,17238
United States,Naperville,Illinois,60540,Central,39.0,Female,38589.0,12657
United States,Los Angeles,California,90049,West,37.0,,76833.0,17464
United States,Melbourne,Florida,32935,South,40.0,,63046.0,15982
United States,Eagan,Minnesota,55122,Central,33.0,Female,50507.0,19505
United States,Eagan,Minnesota,55122,Central,31.0,,91012.0,18983
United States,Westland,Michigan,48185,Central,25.0,Male,52745.0,11551
United States,Dover,Delaware,19901,,39.0,Female,61224.0,10893
United States,Dover,Delaware,19901,East,33.0,,,12677
United States,New Albany,Indiana,47150,Central,43.0,,48600.0,16872
United States,New Albany,Indiana,47150,Central,63.0,Male,49616.0,15535
United States,New Albany,Indiana,47150,Central,46.0,Female,86112.0,18349
United States,New Albany,Indiana,47150,Central,41.0,Female,47456.0,10478
United States,New York City,,10024,East,59.0,Male,68903.0,17403
United States,New York City,New York,10024,East,36.0,,28845.0,18133
United States,,New York,12180,East,,,,16651
United States,Troy,New York,12180,East,36.0,Female,96953.0,13595
United States,Troy,New York,12180,East,51.0,,45471.0,13752
United States,Troy,New York,12180,,43.0,Female,64281.0,14368
United States,Troy,New York,12180,East,42.0,Female,66064.0,18030
United States,Troy,New York,12180,East,41.0,Female,65639.0,12932
United States,Troy,New York,12180,East,46.0,,76644.0,16830
United States,Los Angeles,California,90004,West,50.0,,70400.0,14334
United States,Los Angeles,California,90004,West,32.0,,62918.0,13233
United States,Los Angeles,California,90004,West,,,65385.0,13680
United States,Los Angeles,California,90004,West,28.0,Female,103508.0,16268
United States,Chicago,Illinois,60610,Central,,Female,90225.0,14171
United States,Gilbert,Arizona,85234,West,38.0,Female,68868.0,14745
United States,Gilbert,Arizona,85234,West,40.0,Female,61709.0,19034
United States,Springfield,Virginia,22153,South,,Male,84716.0,16326
United States,New York City,,10009,,53.0,Female,45452.0,19594
United States,,Michigan,49201,Central,49.0,,84052.0,18489
United States,Memphis,Tennessee,38109,South,,Female,92669.0,12576
United States,,Tennessee,38109,South,52.0,,49219.0,18002
United States,Memphis,Tennessee,38109,South,26.0,Female,,10131
United States,Houston,Texas,77041,Central,28.0,Female,73145.0,13345
United States,Houston,Texas,77041,Central,64.0,Female,63628.0,16037
United States,Houston,Texas,77041,Central,,,59010.0,19607
United States,Houston,,77070,Central,33.0,Male,63575.0,10651
United States,Decatur,Alabama,35601,South,45.0,Female,58727.0,18635
United States,Decatur,Alabama,35601,South,28.0,Female,79882.0,13537
United States,San Francisco,California,94122,West,54.0,Female,60843.0,18487
United States,San Francisco,California,94122,West,47.0,Male,103245.0,12442
United States,Durham,North Carolina,27707,South,,,61508.0,19807
United States,Chicago,,60623,Central,51.0,,61998.0,14172
United States,Columbia,South Carolina,29203,South,,,76118.0,14348
United States,Rochester,Minnesota,55901,Central,30.0,Male,79626.0,17541
United States,Rochester,Minnesota,55901,,46.0,Female,72050.0,17700
United States,,Texas,77095,Central,24.0,Female,53839.0,17175
United States,,California,90036,West,50.0,Male,88842.0,18010
United States,Los Angeles,,90036,West,43.0,Female,42811.0,15735
United States,Los Angeles,California,90036,West,43.0,,87315.0,10794
United States,Minneapolis,,55407,Central,,Female,56079.0,15518
United States,Minneapolis,Minnesota,55407,Central,22.0,Female,92590.0,10736
United States,Minneapolis,,55407,Central,33.0,Female,87125.0,18815
United States,Portland,Oregon,97206,West,37.0,Male,92923.0,16909
United States,New York City,New York,10009,,36.0,Female,,18064
United States,San Francisco,,94122,West,45.0,Male,42217.0,10695
United States,Saint Paul,Minnesota,55106,Central,28.0,,80709.0,14262
United States,Chicago,Illinois,60610,Central,29.0,Male,22530.0,11177
United States,Chicago,Illinois,60610,Central,54.0,Female,22530.0,15508
United States,Chicago,Illinois,60610,Central,28.0,,,14058
United States,Rochester,Minnesota,55901,Central,18.0,Male,110589.0,13247
United States,Aurora,Colorado,80013,West,37.0,,76216.0,11608
United States,Aurora,,80013,West,45.0,Female,60471.0,10287
United States,Aurora,Colorado,80013,West,31.0,Female,71165.0,14635
United States,Charlotte,North Carolina,28205,South,,Female,61940.0,13398
United States,Charlotte,North Carolina,28205,South,19.0,Male,45674.0,16614
United States,Charlotte,North Carolina,28205,South,63.0,Female,60337.0,16440
United States,Orland Park,Illinois,60462,Central,38.0,Female,69923.0,13034
United States,New York City,New York,10035,East,39.0,Female,64529.0,14019
United States,Urbandale,Iowa,50322,Central,42.0,Female,38787.0,16354
United States,Urbandale,Iowa,50322,Central,,Female,97774.0,19654
United States,Columbus,Ohio,43229,East,21.0,Female,86699.0,16244
United States,Columbus,Ohio,43229,East,,Female,35726.0,10819
United States,Columbus,Ohio,43229,East,43.0,Female,75837.0,15064
United States,Columbus,Ohio,43229,East,32.0,Female,86937.0,19922
United States,Seattle,Washington,98103,West,,,60427.0,10357
United States,Bristol,Tennessee,37620,South,35.0,Male,45647.0,15514
United States,Wilmington,Delaware,19805,,34.0,Female,37370.0,14853
United States,Wilmington,Delaware,19805,East,,Female,,10892
United States,Wilmington,Delaware,19805,East,46.0,Male,33022.0,16570
United States,Wilmington,Delaware,19805,East,,Male,82522.0,11627
United States,Wilmington,Delaware,19805,East,,,69467.0,18332
United States,Houston,Texas,77041,Central,,Female,75281.0,16606
United States,,Illinois,61701,Central,,Female,83181.0,15160
United States,Phoenix,Arizona,85023,West,49.0,Female,67797.0,15908
United States,,Arizona,85023,West,19.0,Female,70618.0,13249
United States,Los Angeles,California,90004,West,42.0,Female,79786.0,17814
United States,Los Angeles,California,90004,West,44.0,,100350.0,14451
United States,Columbus,,43229,East,42.0,Female,66925.0,10039
United States,Columbus,Ohio,43229,East,43.0,Female,68131.0,15881
United States,,Ohio,43229,East,68.0,Female,100472.0,14710
United States,Roseville,,95661,West,32.0,Female,77342.0,17478
United States,Roseville,California,95661,West,28.0,Female,80561.0,18326
United States,Roseville,California,95661,West,42.0,Male,66613.0,18470
United States,Roseville,California,95661,West,41.0,Female,90826.0,19000
United States,Roseville,California,95661,West,44.0,Female,84924.0,12352
United States,Roseville,California,95661,,45.0,,78558.0,10014
United States,Roseville,California,95661,West,33.0,Female,67985.0,14332
United States,Philadelphia,Pennsylvania,19140,East,30.0,Female,53704.0,14921
United States,San Francisco,,94122,West,51.0,Female,54951.0,17538
United States,San Francisco,California,94122,West,42.0,Female,,17841
United States,San Francisco,California,94122,West,48.0,Female,32136.0,11007
United States,Independence,,64055,,31.0,Female,62381.0,11829
United States,Pasadena,California,91104,West,44.0,Female,,15828
United States,,Ohio,43055,East,26.0,Female,57630.0,15176
United States,Franklin,Wisconsin,53132,Central,29.0,Female,60446.0,17823
United States,Franklin,Wisconsin,53132,Central,56.0,,57944.0,13653
United States,Franklin,,53132,,53.0,Female,22530.0,12800
United States,Franklin,Wisconsin,53132,Central,36.0,,47603.0,10407
United States,Scottsdale,Arizona,85254,West,26.0,,57116.0,11117
United States,Scottsdale,Arizona,85254,West,68.0,,71913.0,18219
United States,San Jose,California,95123,West,40.0,Female,49333.0,17761
United States,San Jose,California,95123,West,70.0,Female,95140.0,16459
United States,San Jose,California,95123,West,57.0,Female,97388.0,19467
United States,Seattle,Washington,98105,West,34.0,Female,,12012
United States,Seattle,,98115,West,36.0,Female,64059.0,19640
United States,Edmond,,73034,Central,40.0,Female,34960.0,13787
United States,,Oklahoma,73034,Central,45.0,Female,58757.0,18955
United States,Los Angeles,California,90045,West,56.0,Male,71984.0,13666
United States,Philadelphia,,19134,,26.0,Female,73849.0,12773
United States,Carlsbad,New Mexico,88220,West,18.0,Female,67064.0,17446
United States,Seattle,,98115,West,53.0,,56619.0,17491
United States,San Antonio,Texas,78207,Central,41.0,Male,68597.0,16221
United States,,Texas,78207,Central,38.0,Male,120861.0,13460
United States,San Antonio,Texas,78207,Central,57.0,Male,48075.0,10327
United States,San Antonio,Texas,78207,Central,39.0,Female,,12250
United States,San Antonio,Texas,78207,Central,39.0,Male,106751.0,16243
United States,San Antonio,,78207,,55.0,Female,94775.0,14098
United States,San Antonio,Texas,78207,Central,51.0,Female,,12426
United States,Los Angeles,California,90004,West,62.0,Female,120240.0,19798
United States,Los Angeles,,90004,West,30.0,,89768.0,14225
United States,,California,90004,West,29.0,,38474.0,16708
United States,Chicago,Illinois,60623,Central,44.0,,35666.0,18130
United States,Chicago,Illinois,60623,Central,20.0,Female,55974.0,11135
United States,Houston,Texas,77036,Central,25.0,Female,91631.0,12047
United States,Newark,Ohio,43055,East,42.0,Female,67705.0,11930
United States,Newark,Ohio,43055,East,29.0,Female,80986.0,19625
United States,New York City,New York,10009,East,,Female,82030.0,11982
United States,Decatur,Illinois,62521,Central,36.0,Female,66574.0,13859
United States,Decatur,Illinois,62521,,41.0,Female,55973.0,19745
United States,Monroe,Louisiana,71203,South,36.0,Female,54507.0,17207
United States,Monroe,Louisiana,71203,South,69.0,Female,58677.0,14765
