TotalPurchases,TotalSpent,MembershipLevel,LastPurchaseDate,Churn,FavoriteCategory,Customer ID
30,5206.283131803464,Gold,2023-11-29,0.0,Clothing,14075
81,10262.683631665557,Platinum,2023-12-26,0.0,Furniture,15015
6,11389.139832928164,Platinum,2023-12-26,,Furniture,19822
102,4776.222358775595,Silver,2023-10-12,0.0,Furniture,11213
67,6352.989484623502,Gold,2023-11-11,0.0,Health & Personal Care,19564
84,8604.840780917551,Gold,2023-11-06,0.0,Electronics,19705
86,11394.124415447423,Platinum,2023-12-06,0.0,Office Products,15173
51,4231.869179324877,Silver,2023-04-29,1.0,Grocery,11289
84,938.6959440526982,Bronze,2023-10-13,0.0,Home and Kitchen,16892
47,12663.570600404728,Platinum,2023-11-21,0.0,Health & Personal Care,15139
33,8107.192162024451,Gold,2023-12-27,0.0,Health & Personal Care,18826
27,2374.716599267032,Silver,2023-03-18,1.0,Pet Supplies,12472
49,9089.197436547229,Gold,2023-07-18,1.0,Furniture,19019
48,9197.316560090285,Gold,2023-10-05,0.0,Clothing,18025
35,7960.0892230938025,Gold,2023-11-17,0.0,Electronics,18744
88,3452.2049125844055,Silver,2023-09-09,1.0,Electronics,13501
26,7420.379152327714,Gold,,0.0,Beauty,13989
60,12729.696291939728,Platinum,2023-12-21,0.0,Furniture,19685
41,3548.8438534490156,Silver,2023-10-20,0.0,Health & Personal Care,19035
1,12771.748887775664,Platinum,2023-09-01,1.0,Furniture,14054
19,8724.885104743975,Gold,2023-11-24,0.0,Office Products,16041
13,10524.73904707433,Platinum,2023-11-27,0.0,Health & Personal Care,16765
44,12675.904880373673,Platinum,2023-05-04,1.0,Beauty,12817
35,11690.02057975709,Platinum,2023-03-02,1.0,Health & Personal Care,16731
38,8177.771016808366,Gold,2023-11-03,0.0,Furniture,10293
47,5554.0869681381755,Gold,2023-12-09,,Health & Personal Care,14880
14,10166.892263980826,Platinum,2023-11-16,0.0,Home and Kitchen,15693
61,1010.1350162520409,Silver,2023-01-02,1.0,Pet Supplies,13234
81,8174.895102197203,Gold,2023-11-24,,Clothing,13853
35,61.62545646500126,Bronze,2023-02-06,1.0,Office Products,16415
72,4747.5760702635525,Silver,2023-03-05,1.0,Furniture,18907
27,10295.240797305194,Platinum,2023-08-07,1.0,Clothing,11456
4,4191.322673231546,Silver,2023-07-16,1.0,Beauty,18932
60,7857.731436375489,Gold,2023-06-05,1.0,Home and Kitchen,16161
103,6195.538706782016,Gold,2023-12-20,0.0,Sports and Outdoors,10553
83,857.1519965139116,Bronze,2023-03-12,1.0,Clothing,15039
47,3764.506664490909,Silver,2023-09-05,1.0,Health & Personal Care,12151
34,4921.508655946164,Silver,2023-03-03,1.0,Grocery,15228
68,10224.804049752067,Platinum,2023-06-08,1.0,Clothing,11280
17,7022.183553403744,Gold,2023-12-11,0.0,Sports and Outdoors,12769
9,12948.699365433304,Platinum,2023-12-11,0.0,Furniture,17238
38,2074.445423980969,Silver,2023-03-26,1.0,Office Products,12657
74,6327.612149167952,Gold,2023-12-15,0.0,Pet Supplies,17464
58,6489.307046086121,Gold,2023-12-27,0.0,Electronics,15982
21,12182.730052617568,Platinum,2023-11-05,0.0,Electronics,19505
27,9150.282650052111,Gold,2023-11-28,0.0,Clothing,18983
55,1875.5395489969833,Silver,2023-11-29,0.0,Grocery,11551
77,6769.043272302776,Gold,2023-04-25,1.0,Grocery,10893
94,10448.709353664499,Platinum,2023-11-12,0.0,Clothing,12677
50,10321.427958536427,Platinum,2023-12-05,0.0,Health & Personal Care,16872
84,8200.554754559005,Gold,2023-11-16,0.0,Home and Kitchen,15535
102,4782.986005704265,Silver,2023-01-06,1.0,Furniture,18349
98,6461.086877787874,Gold,2023-12-10,0.0,Health & Personal Care,10478
88,3379.801817319272,Silver,2023-03-19,1.0,Grocery,17403
4,8274.779918697295,Gold,2023-12-26,0.0,Clothing,18133
67,6510.759415657551,Gold,2023-12-23,0.0,Sports and Outdoors,16651
88,12689.734858038883,Platinum,2023-11-21,0.0,Sports and Outdoors,13595
94,3625.2454327283403,Silver,2023-06-02,1.0,Office Products,13752
26,9256.797837954551,Gold,2023-11-11,0.0,Beauty,14368
12,8084.1596291088,Gold,2023-06-12,1.0,Grocery,18030
46,9308.995280384237,Gold,2023-12-23,0.0,Electronics,12932
104,10647.763579232282,Platinum,,0.0,Electronics,16830
4,5451.675810160844,Gold,2023-11-05,0.0,Grocery,14334
83,11221.611216785772,Platinum,2023-12-05,0.0,Clothing,13233
7,7515.658101573082,Gold,2023-01-26,,Furniture,13680
53,1632.7130310774087,Silver,2023-12-02,0.0,Grocery,16268
48,7005.898283029469,Gold,2023-11-24,0.0,Clothing,14171
81,3053.894659579649,Silver,2023-05-28,1.0,Office Products,14745
39,11836.700422929714,Platinum,2023-11-30,0.0,Beauty,19034
11,12967.007274418362,Platinum,2023-12-10,0.0,Clothing,16326
61,9107.911612784452,Gold,2023-11-11,0.0,Health & Personal Care,19594
40,8797.910273936082,Gold,2023-12-05,0.0,Clothing,18489
36,7613.722031881278,Gold,2023-12-14,0.0,Beauty,12576
45,10455.728112765299,Platinum,2023-11-10,0.0,Health & Personal Care,18002
76,7368.527437173796,Gold,2023-11-01,0.0,Health & Personal Care,10131
60,633.8705096715174,Bronze,2023-12-23,0.0,Clothing,13345
3,2462.6572289474493,Silver,2023-06-12,1.0,Clothing,16037
95,6936.029768446376,Gold,2023-03-15,1.0,Health & Personal Care,19607
