CustomerID,Age,Gender,Income,City,State,PostalCode,Region,Country,TotalPurchases,TotalSpent,MembershipLevel,LastPurchaseDate,FavoriteCategory,Churn,_dataobs_
19705,38,Female,59670,Los Angeles,California,90032,West,United States,84,8604.841,Gold,2023-11-06,Electronics,0,5
11289,42,,29950,Los Angeles,California,90032,West,United States,51,4231.869,Silver,2023-04-29,Grocery,1,7
19019,,,95927,Concord,North Carolina,28027,South,United States,49,9089.197,Gold,2023-07-18,Furniture,1,12
18025,30,,88402,Seattle,,98103,West,United States,48,9197.316,Gold,2023-10-05,Clothing,0,13
19035,40,Female,69166,San Francisco,California,94109,West,United States,41,3548.8438,Silver,2023-10-20,Health & Personal Care,0,18
14054,,Male,100655,San Francisco,California,94109,West,United States,1,12771.749,Platinum,2023-09-01,Furniture,1,19
18907,26,Female,,Philadelphia,Pennsylvania,19140,,United States,72,4747.576,Silver,2023-03-05,Furniture,1,28
10553,51,,78534,Houston,Texas,77095,Central,United States,103,6195.5386,Gold,2023-12-20,Sports and Outdoors,0,32
17238,62,Female,84400,Houston,Texas,77041,Central,United States,9,12948.699,Platinum,2023-12-11,Furniture,0,38
17464,37,,76833,Los Angeles,California,90049,West,United States,74,6327.6123,Gold,2023-12-15,Pet Supplies,0,40
11551,25,Male,52745,Westland,Michigan,48185,Central,United States,55,1875.5396,Silver,2023-11-29,Grocery,0,44
17403,59,Male,68903,New York City,,10024,East,United States,88,3379.8018,Silver,2023-03-19,Grocery,1,51
19034,40,Female,61709,Gilbert,Arizona,85234,West,United States,39,11836.7,Platinum,2023-11-30,Beauty,0,65
18010,50,Male,88842,,California,90036,West,United States,104,2126.7676,Silver,2023-04-22,Grocery,1,84
16909,37,Male,92923,Portland,Oregon,97206,West,United States,54,3849.5552,Silver,,Furniture,1,90
15508,54,Female,22530,Chicago,Illinois,60610,Central,United States,103,11049.928,Platinum,2023-08-24,Health & Personal Care,1,95
10287,45,Female,60471,Aurora,,80013,West,United States,5,13061.763,Platinum,2023-12-23,Pet Supplies,0,99
13398,,Female,61940,Charlotte,North Carolina,28205,South,United States,95,4584.489,Silver,2023-05-12,Pet Supplies,1,101
19654,,Female,97774,Urbandale,Iowa,50322,Central,United States,72,10220.9375,Platinum,2023-12-19,Health & Personal Care,0,107
15160,,Female,83181,,Illinois,61701,Central,United States,62,7454.848,Gold,2023-11-13,Home and Kitchen,0,120
14451,44,,100350,Los Angeles,California,90004,West,United States,88,10179.81,Platinum,2023-11-21,Clothing,0,124
14921,30,Female,53704,Philadelphia,Pennsylvania,19140,East,United States,50,2827.8145,Silver,2023-08-08,Grocery,1,135
17841,42,Female,,San Francisco,California,94122,West,United States,44,11911.178,Platinum,2023-06-12,Home and Kitchen,1,137
11007,48,Female,32136,San Francisco,California,94122,West,United States,84,7854.0337,Gold,2023-11-20,Office Products,0,138
17761,40,Female,49333,San Jose,California,95123,West,United States,34,6073.752,Gold,2023-01-05,Electronics,1,148
12012,34,Female,,Seattle,Washington,98105,West,United States,66,191.2013,Bronze,2023-06-04,Pet Supplies,1,151
13460,38,Male,120861,,Texas,78207,Central,United States,102,4571.05,Silver,2023-04-27,Clothing,1,160
19798,62,Female,120240,Los Angeles,California,90004,West,United States,37,4455.5386,Silver,2023-10-24,Sports and Outdoors,0,166
12047,25,Female,91631,Houston,Texas,77036,Central,United States,96,5557.53,Gold,2023-11-23,Beauty,0,171
14765,69,Female,58677,Monroe,Louisiana,71203,South,United States,88,8750.318,Gold,2023-11-30,Electronics,0,178
13266,25,Male,,Grand Prairie,Texas,75051,Central,United States,47,9634.854,Gold,2023-12-10,Office Products,0,182
19674,32,,50250,,California,92374,,United States,73,4602.333,Silver,2023-07-19,Clothing,1,188
19020,44,Female,44068,Dallas,Texas,75220,Central,United States,52,1496.5754,Silver,2023-03-09,Sports and Outdoors,1,197
19663,53,,89404,Whittier,California,90604,West,United States,73,12103.637,Platinum,2023-11-15,Health & Personal Care,0,199
10207,40,Female,,Saginaw,,48601,Central,United States,99,6187.067,Gold,2023-12-19,Office Products,0,200
19566,22,Female,66067,Medina,Ohio,44256,East,United States,25,821.1269,Bronze,,Office Products,1,207
13610,27,Female,22530,Medina,Ohio,44256,East,United States,61,10987.086,Platinum,2023-11-16,Health & Personal Care,0,210
19573,33,Female,79910,Los Angeles,California,90032,West,United States,15,10727.27,Platinum,2023-11-11,Pet Supplies,0,211
14342,46,Male,54611,Los Angeles,California,90032,West,United States,53,3932.8745,Silver,2023-06-01,Office Products,1,212
10446,40,,22530,Dublin,Ohio,43017,East,United States,99,2448.4802,Silver,2023-03-09,Sports and Outdoors,1,213
13568,46,Male,83549,Dublin,Ohio,43017,East,United States,16,10454.742,Platinum,2023-01-24,Pet Supplies,1,214
16657,45,Male,,Detroit,Michigan,48227,,United States,23,11748.91,Platinum,2023-12-24,Health & Personal Care,0,220
18545,,Male,82242,Detroit,Michigan,48227,,United States,104,464.22217,Bronze,,Grocery,0,221
10109,45,Female,44867,San Diego,California,92037,West,United States,19,3466.4297,Silver,2023-05-11,Health & Personal Care,1,244
11591,29,Female,51289,New York City,New York,10024,East,United States,68,12393.832,Platinum,2023-11-07,Pet Supplies,0,246
18821,18,Female,87550,,Pennsylvania,19140,East,United States,30,2195.2249,Silver,,Electronics,1,270
14995,33,Male,64331,Colorado Springs,Colorado,80906,West,United States,74,11639.783,Platinum,2023-12-28,Grocery,0,288
15588,39,Male,92307,Arlington,Virginia,22204,South,United States,20,8309.297,Gold,2023-11-07,Home and Kitchen,0,301
11683,40,Male,76194,Arvada,Colorado,80004,,United States,98,2390.4253,Silver,2023-11-27,Office Products,0,303
15767,46,,89829,Arvada,Colorado,80004,,United States,59,13144.94,Platinum,2023-11-04,Electronics,0,305
18265,28,Female,90934,New York City,New York,10024,East,United States,51,12129.18,Platinum,2023-11-13,Health & Personal Care,0,312
17575,,Female,,,,92345,West,United States,30,6446.618,Gold,2023-12-03,Health & Personal Care,0,316
16713,20,,,Hesperia,California,92345,West,United States,26,11179.967,Platinum,2023-12-01,Clothing,0,317
17068,26,Female,24458,Philadelphia,Pennsylvania,19134,East,United States,87,2990.561,Silver,2023-01-27,Furniture,1,325
13536,58,Male,,Lowell,Massachusetts,1852,East,United States,46,12426.981,Platinum,2023-11-29,Beauty,0,339
17524,61,Female,,,New York,10035,East,United States,55,11194.324,Platinum,2023-05-25,Clothing,1,348
12082,39,Female,59951,San Francisco,California,94109,,United States,87,879.1992,Bronze,2023-01-12,Beauty,1,356
12020,,Male,72739,Manchester,Connecticut,6040,East,United States,83,12628.117,Platinum,2023-11-17,Grocery,0,359
10441,18,Female,82769,Harlingen,Texas,78550,Central,United States,48,9364.116,Gold,2023-08-06,Home and Kitchen,1,361
18246,,Female,,Harlingen,,78550,Central,United States,49,11509.236,Platinum,2023-12-29,Electronics,0,362
14842,18,,65348,Pembroke Pines,,33024,,United States,68,10429.75,Platinum,2023-12-29,Beauty,0,375
10107,45,Female,110256,Cincinnati,Ohio,45231,East,United States,94,12116.07,Platinum,2023-11-04,Grocery,0,378
19042,27,Female,71125,Las Vegas,Nevada,89115,West,United States,57,11142.541,Platinum,2023-12-09,Health & Personal Care,0,384
10209,39,Female,,Warwick,Rhode Island,2886,East,United States,45,8389.264,Gold,2023-08-05,Clothing,1,385
11977,40,Male,,Houston,,77036,Central,United States,42,9030.189,Gold,2023-11-13,Sports and Outdoors,0,388
11053,41,Female,71770,Miami,Florida,33180,,United States,59,347.40744,Bronze,2023-09-17,Grocery,1,392
14725,50,Female,40582,San Francisco,California,94110,West,United States,85,10681.148,Platinum,2023-12-14,Clothing,0,403
14751,18,Female,89160,Canton,,48187,Central,United States,63,4155.038,Silver,2023-12-12,Home and Kitchen,0,413
19808,31,,,Jacksonville,Florida,32216,South,United States,78,4155.9307,Silver,2023-08-29,Clothing,1,423
14391,29,Female,,Chicago,Illinois,60623,Central,United States,103,13167.944,Platinum,2023-11-12,Office Products,0,424
16809,36,Female,76370,Detroit,Michigan,48227,Central,United States,53,11017.406,Platinum,2023-12-06,Electronics,0,429
17236,22,Female,88281,Detroit,,48227,Central,United States,24,413.64908,Bronze,2023-04-15,Sports and Outdoors,1,432
15286,50,Female,100809,Decatur,Illinois,62521,Central,United States,29,13283.603,Platinum,,Sports and Outdoors,0,443
14056,,Male,71238,Seattle,Washington,98115,West,United States,89,7879.4614,Gold,2023-01-08,Home and Kitchen,1,446
17574,42,Female,91095,Amarillo,,79109,Central,United States,43,6461.9297,Gold,2023-03-24,Furniture,1,454
15291,37,Female,68404,San Francisco,California,94110,West,United States,16,252.31485,Bronze,2023-12-28,Sports and Outdoors,0,458
15204,40,,84758,San Francisco,California,94110,West,United States,29,2880.5786,Silver,,Grocery,1,460
18478,62,Male,60507,New York City,New York,10024,East,United States,90,4843.627,Silver,2023-05-26,Clothing,1,467
10253,26,Female,88030,Seattle,Washington,98115,West,United States,3,12628.493,Platinum,2023-12-05,Grocery,0,477
11183,31,,57292,Fayetteville,Arkansas,72701,South,United States,93,7594.8213,Gold,2023-11-13,Clothing,0,479
12557,38,Female,83905,Costa Mesa,California,92627,West,United States,103,9828.486,Gold,2023-09-14,Beauty,1,481
18367,27,Female,103951,Costa Mesa,California,92627,West,United States,54,1599.7056,Silver,2023-10-08,Pet Supplies,0,482
13414,,Male,119601,Atlanta,Georgia,30318,South,United States,73,11421.081,Platinum,2023-11-25,Beauty,0,491
12859,47,Female,77231,Newark,,43055,East,United States,10,1002.21045,Silver,2023-05-29,Beauty,1,495
15475,49,,101336,Los Angeles,California,90049,West,United States,75,8563.933,Gold,2023-12-08,Home and Kitchen,0,497
13912,,Female,86048,Montgomery,,36116,South,United States,35,3832.743,Silver,2023-01-09,Clothing,1,516
11377,47,,135538,Chicago,,60653,Central,United States,69,1751.6298,Silver,2023-05-16,Health & Personal Care,1,518
12679,32,Female,72733,Tucson,Arizona,85705,West,United States,12,654.3031,Bronze,2023-10-03,Furniture,0,523
13630,35,Female,72650,Chicago,Illinois,60653,Central,United States,40,5920.373,Gold,2023-03-13,Office Products,1,530
12079,24,Female,52871,Houston,Texas,77070,Central,United States,85,4735.6255,Silver,,Health & Personal Care,1,535
