CustomerID,Age,Gender,Income,City,State,PostalCode,Region,Country,TotalPurchases,TotalSpent,MembershipLevel,LastPurchaseDate,FavoriteCategory,Churn
14075,30.0,Male,74291.0,Henderson,Kentucky,42420,South,United States,30,5206.283,Gold,2023-11-29,Clothing,0.0
15015,29.0,Female,65237.0,Henderson,Kentucky,42420,South,United States,81,10262.684,Platinum,2023-12-26,Furniture,0.0
19822,41.0,Female,85197.0,Los Angeles,California,90036,West,United States,6,11389.14,Platinum,2023-12-26,Furniture,
11213,22.0,Female,68506.0,,Florida,33311,South,United States,102,4776.222,Silver,2023-10-12,Furniture,0.0
19564,51.0,Female,97750.0,Fort Lauderdale,Florida,33311,,United States,67,6352.9893,Gold,2023-11-11,Health & Personal Care,0.0
19705,38.0,Female,59670.0,Los Angeles,California,90032,West,United States,84,8604.841,Gold,2023-11-06,Electronics,0.0
15173,53.0,Female,60743.0,Los Angeles,,90032,West,United States,86,11394.124,Platinum,2023-12-06,Office Products,0.0
11289,42.0,,29950.0,Los Angeles,California,90032,West,United States,51,4231.869,Silver,2023-04-29,Grocery,1.0
16892,38.0,Male,68401.0,Los Angeles,California,90032,West,United States,84,938.6959,Bronze,2023-10-13,Home and Kitchen,0.0
15139,,Female,54242.0,Los Angeles,California,90032,West,United States,47,12663.57,Platinum,2023-11-21,Health & Personal Care,0.0
18826,37.0,Female,95420.0,Los Angeles,California,90032,,United States,33,8107.1924,Gold,2023-12-27,Health & Personal Care,0.0
12472,42.0,Male,94554.0,Los Angeles,California,90032,West,United States,27,2374.7166,Silver,2023-03-18,Pet Supplies,1.0
19019,,,95927.0,Concord,North Carolina,28027,South,United States,49,9089.197,Gold,2023-07-18,Furniture,1.0
18025,30.0,,88402.0,Seattle,,98103,West,United States,48,9197.316,Gold,2023-10-05,Clothing,0.0
18744,34.0,Female,94525.0,Fort Worth,,76106,Central,United States,35,7960.0894,Gold,2023-11-17,Electronics,0.0
13501,23.0,Female,96722.0,,,76106,Central,United States,88,3452.2048,Silver,2023-09-09,Electronics,1.0
13989,55.0,Male,76568.0,Madison,,53711,,United States,26,7420.3794,Gold,,Beauty,0.0
19685,43.0,Female,106515.0,West Jordan,,84084,West,United States,60,12729.696,Platinum,2023-12-21,Furniture,0.0
19035,40.0,Female,69166.0,San Francisco,California,94109,West,United States,41,3548.8438,Silver,2023-10-20,Health & Personal Care,0.0
